batter_1,batter_2,runs,wicket,season,not_out,grade,date,opposition,venue,match_id
Matthew Smith,Russell Gallagher,1,1,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Damian Thompson,Shane Ferdinadus,0,3,1992,Yes,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Ian Blake,Justin Fisher,0,1,1992,No,,21 Nov 1992,Innaloo Sportsman,Wellington Sqaure # 1,604903
Peter McSweeney,David Separovic,0,10,1992,No,,20 Feb 1993,Innaloo Sportsman,Yaluma Park,604848
Shane Ferdinadus,Cameron Briscoe,77,7,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Dennis Freind,Ron Gillespie,43,2,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Ian Blake,Shane Ferdinadus,36,6,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Peter McSweeney,Ian Price,36,9,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Graham Butler,Paul Dickson,30,1,1993,Yes,,9 Oct 1993,Northern Suburbs,Coolbinia Reserve #2,604824
Dennis Freind,Ian Blake,25,4,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Justin Fisher,Graham Butler,23,3,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Justin Fisher,Ian Blake,16,6,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Ian Blake,Damian Thompson,14,5,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Shane Ferdinadus,Peter McSweeney,11,8,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Justin Fisher,Dennis Freind,10,1,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Justin Fisher,Geoff OMeara,6,9,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Stephen Clarke,Dennis Freind,6,1,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Stephen Clarke,Justin Fisher,6,2,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Justin Fisher,Ian Price,3,5,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Justin Fisher,Ron Gillespie,2,4,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Justin Fisher,Peter McSweeney,1,7,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Peter McSweeney,David Separovic,1,10,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Dennis Freind,Graham Butler,1,3,1993,No,,15 Jan 1994,Innaloo Sportsman,Yaluma Park,604730
Justin Fisher,Colin Gotch,0,8,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Justin Fisher,David Separovic,0,10,1993,No,,23 Oct 1993,Innaloo Sportsman,Coolbinia Reserve #2,604806
Chris Popoff,J McAuliffe,160,3,1994,No,,5 Dec 1994,Coolbinia Yokine,Juniper Reserve,653649
Chris Popoff,J McAuliffe,160,3,1994,No,,5 Dec 1994,Coolbinia Yokine,Juniper Reserve,
L Nelson,J McAuliffe,127,3,1994,No,,26 Nov 1994,Greenrange,Selby Street,604631
Kyle Adams,Adam Duffy,113,1,1994,No,,10 Dec 1994,Osborne Park,Juniper Reserve,604614
