Player,Season,Grade,Games,Innings,Runs,NO,HS,Avg,Wickets,Overs,Runs Conceded,Bowl Avg,Catches,Stumpings,Notes
C N Adams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #73, debut 1946/47"
C P Tragakis,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #283, debut 1987/88"
C Parham,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #323, debut 1997/98"
C Payne,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #192, debut 1968/69"
C Prideau,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #35, debut 1940/41"
C R Wells,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #413, debut 2015/16"
C Richardson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #49, debut 1942/43"
C Williamson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #47, debut 1942/43"
C Young,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
CI Ansell,Prior Seasons & Adjustments,,,,,,,,451,3055.4,8780,19.47,,,
CP O’Donnell,Prior Seasons & Adjustments,,,,,,,,,,,,101,18,
Caris,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1941/42
Clark,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1933/34
D A Denew,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #371, debut 2005/06"
D A Huston,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #286, debut 1988/89"
D A Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #299, debut 1991/92"
D B Modra,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #327, debut 1998/99"
D Barrett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #40, debut 1941/42"
D C Oung,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #293, debut 1990/91"
D Coulter,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #235, debut 1975/76"
D D Heaft,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #305, debut 1993/94"
D Debney,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #101, debut 1951/52"
D G Hooper,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #122, debut 1956/57"
D H Adams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #344, debut 2002/03"
D H Elliott,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #113, debut 1955/56"
D H Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #125, debut 1957/58"
D J Dixey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #172, debut 1963/64"
D J Fitzsimons,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #412, debut 2015/16"
D J Hann,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #150, debut 1961/62"
D J Hawes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #274, debut 1984/85"
D J Hissey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #256, debut 1980/81"
D J Mackay,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #216, debut 1972/73"
D J Manser,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #105, debut 1953/54"
D J Meijer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #325, debut 1997/98"
D J Nolan,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #306, debut 1993/94"
D J Roberts,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #69, debut 1945/46"
D J Rowe,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #304, debut 1992/93"
D J Sexton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #328, debut 1998/99"
D J Von Einem Jnr,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #261, debut 1981/82"
D J Von Einem Snr,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #199, debut 1969/70"
D J Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #335, debut 2000/01"
D K Plummer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #157, debut 1962/63"
D L Dunemann,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #89, debut 1950/51"
D L Heanes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #196, debut 1969/70"
D M Dolling,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #432, debut 2018/19"
D McKay,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #249, debut 1977/78"
D Milne,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #91, debut 1950/51"
D P Terrell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #314, debut 1995/96"
D Pryor,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1933/34
D R Betterman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #300, debut 1991/92"
D R Hutchinson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #159, debut 1962/63"
D R Jennings,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #317, debut 1995/96"
D Read,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1934/35
D S Hall,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #341, debut 2001/02"
D S Looker,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #44, debut 1941/42"
D Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #11, debut 1932/33"
D W Fischerman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #313, debut 1995/96"
D W Perry,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #408, debut 2015/16"
DH Williams,Prior Seasons & Adjustments,,,,,,,,,,,,170,66,
DI Williams,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #218, debut 1972/73"
DJ Dixey,Prior Seasons & Adjustments,,340,391,8048,50,112,23.6,,,,,,,
DJ Von Einem,Prior Seasons & Adjustments,,,,,,,,686,4754.4,12460,18.16,,,
DM Curtin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #276, debut 1986/87"
DR Jennings,Prior Seasons & Adjustments,,,,,,,,,,,,126,36,
E C Sim,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #29, debut 1939/40"
E Cammiss,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #74, debut 1947/48"
E Challens,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #42, debut 1941/42"
E Franklin,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #6, debut 1932/33"
E Manuell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #148, debut 1960/61"
Easom,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1933/34
F Andrews,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #90, debut 1950/51"
F G Bear,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #28, debut 1939/40"
F Harrison,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #59, debut 1944/45"
F L D'Antini,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #403, debut 2014/15"
F N Giles,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #81, debut 1948/49"
F Yates,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #129, debut 1958/59"
FW March,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #455, debut 2021/22"
G A Wills,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #319, debut 1996/97"
G A Wright,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #260, debut 1981/82"
G Atwell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #187, debut 1967/68"
G C Perkins,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #231, debut 1975/76"
G C Rose,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #405, debut 2014/15"
G Crawford,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #56, debut 1944/45"
G Curry,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #224, debut 1973/74"
G Doran,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #464, debut 2023/24"
G Dowsett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #229, debut 1975/76"
G E Shepherd,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #75, debut 1947/48"
G G Wilson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #257, debut 1980/81"
G Groube,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #236, debut 1976/77"
G Hammond,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #174, debut 1964/65"
G Harkness,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #230, debut 1975/76"
G Howard,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #177, debut 1964/65"
G J Brown,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #164, debut 1962/63"
G L Hannaford,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #121, debut 1956/57"
G M Vincent,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #316, debut 1995/96"
