player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
Jim Jenkinson,Summer 2017/18,,1,,,,,,,,,,,,,,
Jim Jenkinson,Summer 2018/19,,5,4,,20,63,3,,14,11,1,35,3,1,,2-20
Jim Jenkinson,Summer 2019/20,,12,10,6,117,216,14,,31,8,,30,2,,,1-3
Jim Jenkinson,Summer 2022/23,,2,1,,2,17,,,2,5,,32,,1,3,0-12
John Crawford,Summer 2016/17,,10,9,4,102,174,11,1,25*,40,8,145,7,4,,2-14
John Crawford,Summer 2018/19,,6,5,1,12,39,1,,8,33,4,141,3,13,2,1-5
John Crawford,Summer 2019/20,,8,7,,30,78,3,,7,54,6,180,8,8,4,1-8
John Crawford,Summer 2020/21,,6,5,2,18,104,2,,6,32.4,3,93,7,6,3,4-14
John Crawford,Summer 2021/22,,9,8,4,44,130,2,,14,41,,163,7,4,1,3-31
John Crawford,Summer 2022/23,,1,1,1,2,4,,,2*,4,1,15,1,,,1-15
John Tonkin,Summer 2010/11,,1,,,,,,,,,,,,,,
John Tonkin,Summer 2011/12,,6,,,,,,,,,,,,,,
John Tonkin,Summer 2012/13,,10,,,,,,,,,,,,,,
John Tonkin,Summer 2013/14,,1,,,,,,,,,,,,,,
John Tonkin,Summer 2015/16,,1,,,,,,,,,,,,,,
John Tonkin,Summer 2016/17,,4,,,,,,,,,,,,,,
K Dowdell,Summer 2012/13,,2,,,,,,,,,,,,,,
K Hann,Summer 2011/12,,5,,,,,,,,,,,,,,
K Hann,Summer 2012/13,,3,,,,,,,,,,,,,,
K Hann,Summer 2013/14,,1,,,,,,,,,,,,,,
K Saunders,Summer 2010/11,,1,,,,,,,,,,,,,,
K Saunders,Summer 2011/12,,5,,,,,,,,,,,,,,
Kearney,Summer 2011/12,,2,,,,,,,,,,,,,,
Ken Baker,Summer 2012/13,,3,,,,,,,,,,,,,,
Ken Baker,Summer 2013/14,,1,,,,,,,,,,,,,,
Ken Baker,Summer 2018/19,,6,6,4,83,120,5,3,40*,19,1,74,2,1,,1-10
Ken Baker,Summer 2019/20,,14,13,3,237,237,25,3,39,48.2,4,181,4,4,3,1-10
Ken Baker,Summer 2020/21,,7,7,1,138,139,17,3,36,14,1,44,3,,,3-9
Ken Baker,Summer 2021/22,,10,10,5,227,262,24,5,40,39,4,124,7,3,,2-6
Ken Baker,Summer 2022/23,,7,7,1,174,145,24,4,42,6,1,19,2,1,,2-16
Ken Baker,Summer 2023/24,,8,8,3,89,149,10,,22,43,6,127,6,4,1,2-17
Ken Baker,Summer 2024/25,,10,10,4,234,254,27,5,40,37,4,162,3,3,1,2-12
Leo McMahon,Summer 2011/12,,1,,,,,,,,,,,,,,
Leo McMahon,Summer 2013/14,,1,,,,,,,,,,,,,,
Les Payne,Summer 2011/12,,3,,,,,,,,,,,,,,
Les Payne,Summer 2012/13,,7,,,,,,,,,,,,,,
Les Payne,Summer 2013/14,,1,,,,,,,,,,,,,,
Les Payne,Summer 2015/16,,2,,,,,,,,,,,,,,
Les Payne,Summer 2016/17,,11,11,7,183,252,17,,27*,37,6,156,4,3,2,2-18
Les Payne,Summer 2017/18,,1,,,,,,,,,,,,,,
Les Payne,Summer 2018/19,,5,5,2,62,131,5,,31,13,,71,2,1,1,1-18
Les Payne,Summer 2019/20,,8,7,6,137,218,11,,27,7,2,30,1,,,1-12
Les Payne,Summer 2020/21,,3,3,3,66,94,10,,23*,,,,,,,
Les Payne,Summer 2021/22,,6,5,3,75,122,9,,29*,,,,,,,
Les Payne,Summer 2022/23,,4,4,3,44,97,,,15,3,,20,,,,0-20
Les Payne,Summer 2023/24,,2,2,,13,43,,,12,,,,,,,
Lyndon Oakley,Summer 2011/12,,4,,,,,,,,,,,,,,
Lyndon Oakley,Summer 2012/13,,5,,,,,,,,,,,,,,
Lyndon Oakley,Summer 2013/14,,1,,,,,,,,,,,,,,
Lyndon Oakley,Summer 2015/16,,2,,,,,,,,,,,,,,
Lyndon Oakley,Summer 2016/17,,8,8,1,87,123,8,1,26,32,2,165,5,1,5,2-33
Lyndon Oakley,Summer 2018/19,,8,8,3,133,179,16,,37*,40.3,3,141,11,1,1,3-8
Lyndon Oakley,Summer 2019/20,,14,13,1,103,239,6,,21,66,11,252,4,,1,1-8
Lyndon Oakley,Summer 2020/21,,10,10,2,80,162,6,,31,51,3,221,3,3,,1-16
Lyndon Oakley,Summer 2021/22,,4,4,,42,81,4,,24,9,1,60,1,,,1-32
Lyndon Oakley,Summer 2022/23,,1,1,,,7,,,,,,,,,,
Lyndon Oakley,Summer 2024/25,,2,,,,,,,,3,,21,1,,,1-4
