player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
Stephen Bell,Summer 2024/25,,1,,,,,,,,,,,,,,
Steve Sambrook,Summer 2023/24,,1,1,,1,6,,,1,,,,,,,
Steve Sambrook,Summer 2024/25,,,1,1,13,25,1,,13*,,,,,,,
Terry Flynn,Summer 2024/25,,1,1,1,12,22,1,,12*,3,,28,,1,,0-28
Terry Pullen,Summer 2022/23,,1,1,,1,,,,,4,,20,,1,,0-20
Terry Willoughby,Summer 2024/25,,,2,,1,13,,,1,,,,,,,
Tom Gorman,Summer 2022/23,,1,1,,,2,,,,,,,,,,
Tom Gorman,Summer 2024/25,,,2,,1,6,,,1,,,,,,,
Tony Legoe,Summer 2024/25,,4,3,,16,38,1,,12,19,2,68,1,1,,1-12
W Gason,Summer 2024/25,,1,1,,1,1,,,1,2,,19,,2,,
W Legoe,Summer 2024/25,,1,1,1,23,23,4,,23*,1,,3,,,,0-3
Wayne Hinchcliffe,Summer 2022/23,,4,4,1,24,55,1,,13*,29,5,118,5,6,,2-25
Wayne Hinchcliffe,Summer 2023/24,,3,2,,21,27,2,,16,18.2,6,42,5,,,
Wayne Hinchcliffe,Summer 2024/25,,3,3,1,35,52,3,,17,20,1,80,6,,,2-12
